,trip_start_timestamp,trip_end_timestamp,trip_seconds,trip_miles,pickup_community_area,dropoff_community_area,fare,tip,additional_charges,shared_trip_authorized,trips_pooled,pickup_centroid_location,dropoff_centroid_location,date
269311,2019-09-01 23:30:00,2019-09-02T00:00:00.000,1559,7.975309,1,24,15,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6735740325, 42.0016981937]}","{'type': 'Point', 'coordinates': [-87.684490122, 41.8994222543]}",2019-09-01
137954,2019-09-01 14:30:00,2019-09-01T14:30:00.000,650,2.357066,8,28,7.5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6129454143, 41.8919715078]}","{'type': 'Point', 'coordinates': [-87.6428084655, 41.8853000224]}",2019-09-01
201730,2019-09-01 18:45:00,2019-09-01T19:00:00.000,1417,5.170671,28,8,15,5,3.11,False,1,"{'type': 'Point', 'coordinates': [-87.672920435, 41.8631181033]}","{'type': 'Point', 'coordinates': [-87.6262105324, 41.8991556134]}",2019-09-01
164694,2019-09-01 16:30:00,2019-09-01T17:00:00.000,1475,4.3220384168,6,24,17.5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6559981815, 41.9442266014]}","{'type': 'Point', 'coordinates': [-87.6763559892, 41.9012069941]}",2019-09-01
147359,2019-09-01 15:15:00,2019-09-01T15:30:00.000,916,2.448844,28,8,7.5,3,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6572331997, 41.8852813201]}","{'type': 'Point', 'coordinates': [-87.6129454143, 41.8919715078]}",2019-09-01
73209,2019-09-01 09:15:00,2019-09-01T09:30:00.000,406,1.359924,7,8,5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6341560931, 41.922082541]}","{'type': 'Point', 'coordinates': [-87.6321092196, 41.9002656868]}",2019-09-01
82781,2019-09-01 10:30:00,2019-09-01T11:00:00.000,1113,5.59037492416,1,14,12.5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6701668569, 42.0096228806]}","{'type': 'Point', 'coordinates': [-87.7215590627, 41.968069]}",2019-09-01
88243,2019-09-01 10:45:00,2019-09-01T11:15:00.000,1801,19.108322,32,76,25,0,7.55,False,1,"{'type': 'Point', 'coordinates': [-87.6221729369, 41.8706073724]}","{'type': 'Point', 'coordinates': [-87.9030396611, 41.9790708201]}",2019-09-01
63159,2019-09-01 07:30:00,2019-09-01T07:30:00.000,767,4.920494,6,8,17.5,0,2.85,False,1,"{'type': 'Point', 'coordinates': [-87.6564115308, 41.9362371791]}","{'type': 'Point', 'coordinates': [-87.6197106717, 41.8950334495]}",2019-09-01
228382,2019-09-01 20:30:00,2019-09-01T20:45:00.000,831,3.38803068992,43,41,10,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.5727819867, 41.7615779081]}","{'type': 'Point', 'coordinates': [-87.592310855, 41.794090253]}",2019-09-01
13829,2019-09-01 00:30:00,2019-09-01T00:30:00.000,500,2.640974,3,6,7.5,3,3.11,False,1,"{'type': 'Point', 'coordinates': [-87.6603894557, 41.958055933]}","{'type': 'Point', 'coordinates': [-87.6519703953, 41.9492209135]}",2019-09-01
228297,2019-09-01 20:30:00,2019-09-01T20:45:00.000,1086,8.56391249776,77,32,12.5,4,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6641882421, 41.9799124453]}","{'type': 'Point', 'coordinates': [-87.6209929134, 41.8849871918]}",2019-09-01
209419,2019-09-01 19:15:00,2019-09-01T19:30:00.000,813,3.136097,7,8,7.5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6422063127, 41.9305785697]}","{'type': 'Point', 'coordinates': [-87.6318639497, 41.8920421365]}",2019-09-01
27013,2019-09-01 01:30:00,2019-09-01T01:45:00.000,1004,4.952328,24,21,10,5,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6753116216, 41.906025969]}","{'type': 'Point', 'coordinates': [-87.7303017582, 41.9357450582]}",2019-09-01
272393,2019-09-01 23:30:00,2019-09-01T23:45:00.000,988,3.87212384976,8,24,10,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6357600901, 41.9074919303]}","{'type': 'Point', 'coordinates': [-87.6941973701, 41.9005603836]}",2019-09-01
216000,2019-09-01 19:45:00,2019-09-01T20:00:00.000,859,3.356913,6,24,7.5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6564115308, 41.9362371791]}","{'type': 'Point', 'coordinates': [-87.6810252307, 41.9067713317]}",2019-09-01
164033,2019-09-01 16:30:00,2019-09-01T16:30:00.000,251,0.76622190768,24,24,2.5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6747191345, 41.8995897957]}","{'type': 'Point', 'coordinates': [-87.6753116216, 41.906025969]}",2019-09-01
195810,2019-09-01 18:30:00,2019-09-01T18:45:00.000,696,3.2127877232,69,40,7.5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6161341112, 41.7632467988]}","{'type': 'Point', 'coordinates': [-87.6179313803, 41.7923572233]}",2019-09-01
215388,2019-09-01 19:45:00,2019-09-01T19:45:00.000,172,0.488059,3,3,2.5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6631958495, 41.9654457842]}","{'type': 'Point', 'coordinates': [-87.6573411073, 41.9727095466]}",2019-09-01
39280,2019-09-01 02:30:00,2019-09-01T02:30:00.000,141,0.44680742224,6,6,5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6439653703, 41.949829346]}","{'type': 'Point', 'coordinates': [-87.6517705068, 41.9426918444]}",2019-09-01
111875,2019-09-01 12:45:00,2019-09-01T13:00:00.000,1047,5.233782,8,6,10,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6207628651, 41.8983317935]}","{'type': 'Point', 'coordinates': [-87.6519703953, 41.9492209135]}",2019-09-01
248141,2019-09-01 22:00:00,2019-09-01T22:30:00.000,1661,12.500335,41,24,20,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.5853031602, 41.8012268363]}","{'type': 'Point', 'coordinates': [-87.6709450752, 41.9083786693]}",2019-09-01
182189,2019-09-01 17:30:00,2019-09-01T17:45:00.000,677,1.643327,6,6,7.5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6470785093, 41.942577185]}","{'type': 'Point', 'coordinates': [-87.6662888874, 41.941555829]}",2019-09-01
73963,2019-09-01 09:30:00,2019-09-01T09:45:00.000,835,3.37684496864,24,7,7.5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6598643178, 41.8925368719]}","{'type': 'Point', 'coordinates': [-87.6317173661, 41.9146162864]}",2019-09-01
204077,2019-09-01 19:00:00,2019-09-01T19:15:00.000,1111,7.56341187216,35,46,12.5,0,0,True,2,"{'type': 'Point', 'coordinates': [-87.6108347373, 41.8346735981]}","{'type': 'Point', 'coordinates': [-87.5636925942, 41.7444906426]}",2019-09-01
70473,2019-09-01 09:00:00,2019-09-01T09:00:00.000,271,1.203403,22,22,0,0,2.55,True,2,"{'type': 'Point', 'coordinates': [-87.6991553432, 41.9227606205]}","{'type': 'Point', 'coordinates': [-87.6991553432, 41.9227606205]}",2019-09-01
130067,2019-09-01 14:00:00,2019-09-01T14:15:00.000,797,2.294678,8,32,7.5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6318639497, 41.8920421365]}","{'type': 'Point', 'coordinates': [-87.6314065252, 41.8710158803]}",2019-09-01
27112,2019-09-01 01:30:00,2019-09-01T02:00:00.000,1907,8.23393372,6,28,10,0,0,True,3,"{'type': 'Point', 'coordinates': [-87.6460070664, 41.9534000435]}","{'type': 'Point', 'coordinates': [-87.6540926517, 41.8716894745]}",2019-09-01
244237,2019-09-01 21:45:00,2019-09-01T22:15:00.000,1586,6.89661859808,67,39,10,0,0,True,2,"{'type': 'Point', 'coordinates': [-87.6665962653, 41.7759288274]}","{'type': 'Point', 'coordinates': [-87.5961833442, 41.8089162826]}",2019-09-01
40728,2019-09-01 02:30:00,2019-09-01T02:45:00.000,534,2.640114,6,3,7.5,3,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6439653703, 41.949829346]}","{'type': 'Point', 'coordinates': [-87.6711095263, 41.9724370811]}",2019-09-01
66560,2019-09-01 08:15:00,2019-09-01T08:15:00.000,133,0.620299,31,31,2.5,0,2.55,True,1,"{'type': 'Point', 'coordinates': [-87.6829962096, 41.8441449609]}","{'type': 'Point', 'coordinates': [-87.6746905879, 41.8558061709]}",2019-09-01
104424,2019-09-01 12:00:00,2019-09-01T12:15:00.000,620,1.448185,6,6,5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6661106945, 41.9360865352]}","{'type': 'Point', 'coordinates': [-87.6568039088, 41.9491397709]}",2019-09-01
247333,2019-09-01 22:00:00,2019-09-01T22:15:00.000,611,6.352412,32,3,10,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6209929134, 41.8849871918]}","{'type': 'Point', 'coordinates': [-87.6523653588, 41.9636331692]}",2019-09-01
38286,2019-09-01 02:15:00,2019-09-01T02:15:00.000,387,1.346168,8,8,5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6357600901, 41.9074919303]}","{'type': 'Point', 'coordinates': [-87.6318639497, 41.8920421365]}",2019-09-01
66434,2019-09-01 08:15:00,2019-09-01T08:45:00.000,1594,14.44241,76,77,20,0,7.55,False,1,"{'type': 'Point', 'coordinates': [-87.913624596, 41.9802643146]}","{'type': 'Point', 'coordinates': [-87.6634164054, 41.9867117999]}",2019-09-01
18532,2019-09-01 00:45:00,2019-09-01T01:30:00.000,2501,15.63089,41,29,25,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.592310855, 41.794090253]}","{'type': 'Point', 'coordinates': [-87.7172201, 41.8601900192]}",2019-09-01
28298,2019-09-01 01:30:00,2019-09-01T01:45:00.000,158,0.661708,8,8,2.5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6357600901, 41.9074919303]}","{'type': 'Point', 'coordinates': [-87.6321092196, 41.9002656868]}",2019-09-01
105905,2019-09-01 12:15:00,2019-09-01T12:30:00.000,746,3.007607,28,24,7.5,1,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6572331997, 41.8852813201]}","{'type': 'Point', 'coordinates': [-87.6750627566, 41.9123643542]}",2019-09-01
189441,2019-09-01 18:00:00,2019-09-01T18:30:00.000,1991,17.861058,46,25,25,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.551428197, 41.7412427285]}","{'type': 'Point', 'coordinates': [-87.7560467111, 41.8906088526]}",2019-09-01
120202,2019-09-01 13:15:00,2019-09-01T13:45:00.000,1386,13.025666,44,8,20,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6300448953, 41.7424875717]}","{'type': 'Point', 'coordinates': [-87.6262105324, 41.8991556134]}",2019-09-01
250470,2019-09-01 22:00:00,2019-09-01T22:15:00.000,747,3.299363,7,23,7.5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6608925701, 41.9289459041]}","{'type': 'Point', 'coordinates': [-87.7100873222, 41.9118565923]}",2019-09-01
21750,2019-09-01 01:00:00,2019-09-01T01:15:00.000,1332,7.574097,4,8,15,5,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6875155152, 41.9751709433]}","{'type': 'Point', 'coordinates': [-87.6333080367, 41.899602111]}",2019-09-01
109630,2019-09-01 12:30:00,2019-09-01T12:45:00.000,980,2.864533,24,8,7.5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6649539167, 41.8997373884]}","{'type': 'Point', 'coordinates': [-87.6262105324, 41.8991556134]}",2019-09-01
111152,2019-09-01 12:30:00,2019-09-01T12:30:00.000,474,1.746896,23,24,5,1,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.7209182385, 41.9000696026]}","{'type': 'Point', 'coordinates': [-87.6763559892, 41.9012069941]}",2019-09-01
151858,2019-09-01 15:30:00,2019-09-01T15:45:00.000,1136,5.053003,14,19,10,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.7215590627, 41.968069]}","{'type': 'Point', 'coordinates': [-87.7655016086, 41.9272609555]}",2019-09-01
92447,2019-09-01 11:15:00,2019-09-01T11:15:00.000,316,1.596153,60,59,5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6487879519, 41.8361501547]}","{'type': 'Point', 'coordinates': [-87.6725026464, 41.8299223039]}",2019-09-01
28907,2019-09-01 01:30:00,2019-09-01T01:45:00.000,747,4.109478,24,5,7.5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6649539167, 41.8997373884]}","{'type': 'Point', 'coordinates': [-87.6907750098, 41.9448137543]}",2019-09-01
265505,2019-09-01 23:00:00,2019-09-01T23:15:00.000,451,0.61459324144,32,8,7.5,0,2.85,False,1,"{'type': 'Point', 'coordinates': [-87.6209929134, 41.8849871918]}","{'type': 'Point', 'coordinates': [-87.6288741572, 41.8920726347]}",2019-09-01
91833,2019-09-01 11:15:00,2019-09-01T11:45:00.000,1175,14.22823746816,31,73,17.5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6746905879, 41.8558061709]}","{'type': 'Point', 'coordinates': [-87.6505810959, 41.7106148902]}",2019-09-01
139851,2019-09-01 14:45:00,2019-09-01T14:45:00.000,361,1.882229,59,60,5,1,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6725026464, 41.8299223039]}","{'type': 'Point', 'coordinates': [-87.6487879519, 41.8361501547]}",2019-09-01
220702,2019-09-01 20:00:00,2019-09-01T20:00:00.000,395,0.875396,6,6,5,5,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6614433685, 41.9416281]}","{'type': 'Point', 'coordinates': [-87.6605035019, 41.952719111]}",2019-09-01
99665,2019-09-01 11:45:00,2019-09-01T12:00:00.000,900,5.875269,8,21,10,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6384040116, 41.9015669095]}","{'type': 'Point', 'coordinates': [-87.693325868, 41.9354389148]}",2019-09-01
145562,2019-09-01 15:15:00,2019-09-01T15:15:00.000,474,1.565677,8,7,5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6499072264, 41.9049353016]}","{'type': 'Point', 'coordinates': [-87.6317173661, 41.9146162864]}",2019-09-01
112432,2019-09-01 12:45:00,2019-09-01T13:00:00.000,999,2.733086,28,8,7.5,1,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.642648998, 41.8792550844]}","{'type': 'Point', 'coordinates': [-87.6197106717, 41.8950334495]}",2019-09-01
229740,2019-09-01 20:45:00,2019-09-01T21:15:00.000,1737,11.11674266544,20,1,17.5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.7347397536, 41.9243470769]}","{'type': 'Point', 'coordinates': [-87.6701668569, 42.0096228806]}",2019-09-01
36105,2019-09-01 02:15:00,2019-09-01T02:15:00.000,311,1.552419,7,7,5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6358909539, 41.9292629902]}","{'type': 'Point', 'coordinates': [-87.665676837, 41.9287630064]}",2019-09-01
37983,2019-09-01 02:15:00,2019-09-01T02:30:00.000,831,5.61398922464,8,22,12.5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6378442095, 41.8932163595]}","{'type': 'Point', 'coordinates': [-87.7044795753, 41.9156132381]}",2019-09-01
138815,2019-09-01 14:45:00,2019-09-01T15:15:00.000,1906,8.83236980848,42,70,15,0,0,True,2,"{'type': 'Point', 'coordinates': [-87.5949254391, 41.7788768603]}","{'type': 'Point', 'coordinates': [-87.7083657043, 41.7457577128]}",2019-09-01
38550,2019-09-01 02:30:00,2019-09-01T02:45:00.000,915,6.77591,8,60,12.5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6318639497, 41.8920421365]}","{'type': 'Point', 'coordinates': [-87.6535834197, 41.8329371807]}",2019-09-01
9959,2019-09-01 00:15:00,2019-09-01T00:30:00.000,927,1.06761495328,32,8,7.5,2,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6209929134, 41.8849871918]}","{'type': 'Point', 'coordinates': [-87.6318639497, 41.8920421365]}",2019-09-01
69199,2019-09-01 08:45:00,2019-09-01T09:00:00.000,693,4.49696,32,33,7.5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6327464887, 41.8809944707]}","{'type': 'Point', 'coordinates': [-87.6241352979, 41.8492467545]}",2019-09-01
210788,2019-09-01 19:30:00,2019-09-01T19:45:00.000,206,0.422091,8,8,2.5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6188683546, 41.8909220259]}","{'type': 'Point', 'coordinates': [-87.6188683546, 41.8909220259]}",2019-09-01
97963,2019-09-01 11:45:00,2019-09-01T12:00:00.000,674,2.874841,8,34,10,0,3.11,False,1,"{'type': 'Point', 'coordinates': [-87.6318639497, 41.8920421365]}","{'type': 'Point', 'coordinates': [-87.6350918563, 41.8510178239]}",2019-09-01
2581,2019-09-01 00:00:00,2019-09-01T00:15:00.000,1402,6.684348,22,32,12.5,2,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.7152528177, 41.9209608656]}","{'type': 'Point', 'coordinates': [-87.6209929134, 41.8849871918]}",2019-09-01
164959,2019-09-01 16:30:00,2019-09-01T16:45:00.000,845,5.434405,8,22,10,1,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6188683546, 41.8909220259]}","{'type': 'Point', 'coordinates': [-87.6922563262, 41.9157411934]}",2019-09-01
210694,2019-09-01 19:30:00,2019-09-01T19:30:00.000,738,2.409233,28,8,7.5,1,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6572331997, 41.8852813201]}","{'type': 'Point', 'coordinates': [-87.6318639497, 41.8920421365]}",2019-09-01
194418,2019-09-01 18:15:00,2019-09-01T18:45:00.000,1957,18.17617565104,76,32,22.5,0,7.55,False,1,"{'type': 'Point', 'coordinates': [-87.9030396611, 41.9790708201]}","{'type': 'Point', 'coordinates': [-87.6209929134, 41.8849871918]}",2019-09-01
27609,2019-09-01 01:30:00,2019-09-01T02:15:00.000,3365,11.8320073984,24,39,12.5,0,0,True,2,"{'type': 'Point', 'coordinates': [-87.6763559892, 41.9012069941]}","{'type': 'Point', 'coordinates': [-87.5961833442, 41.8089162826]}",2019-09-01
218496,2019-09-01 20:00:00,2019-09-01T20:15:00.000,780,3.18917342272,21,6,7.5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.717503858, 41.942859303]}","{'type': 'Point', 'coordinates': [-87.6568039088, 41.9491397709]}",2019-09-01
220443,2019-09-01 20:00:00,2019-09-01T20:00:00.000,582,3.158099,28,33,7.5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6572331997, 41.8852813201]}","{'type': 'Point', 'coordinates': [-87.6305800611, 41.8612808467]}",2019-09-01
40609,2019-09-01 02:30:00,2019-09-01T02:45:00.000,332,1.484739,67,71,0,0,2.55,True,2,"{'type': 'Point', 'coordinates': [-87.6665962653, 41.7759288274]}","{'type': 'Point', 'coordinates': [-87.6563059862, 41.7442051463]}",2019-09-01
246911,2019-09-01 21:45:00,2019-09-01T22:00:00.000,669,2.68671,28,24,2.5,0,2.55,False,2,"{'type': 'Point', 'coordinates': [-87.6537566193, 41.8634226841]}","{'type': 'Point', 'coordinates': [-87.6525344838, 41.8926581076]}",2019-09-01
155934,2019-09-01 16:00:00,2019-09-01T16:15:00.000,1043,5.847974,44,41,12.5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6159695226, 41.7402057565]}","{'type': 'Point', 'coordinates': [-87.592310855, 41.794090253]}",2019-09-01
139892,2019-09-01 14:45:00,2019-09-01T15:00:00.000,409,2.888698,6,7,5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6385749205, 41.9383912577]}","{'type': 'Point', 'coordinates': [-87.6317173661, 41.9146162864]}",2019-09-01
115841,2019-09-01 13:00:00,2019-09-01T13:15:00.000,654,1.33793655088,28,32,5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.642648998, 41.8792550844]}","{'type': 'Point', 'coordinates': [-87.6209929134, 41.8849871918]}",2019-09-01
118633,2019-09-01 13:15:00,2019-09-01T14:00:00.000,2056,9.34132012672,35,7,12.5,0,0,True,2,"{'type': 'Point', 'coordinates': [-87.6125639471, 41.8416911186]}","{'type': 'Point', 'coordinates': [-87.6341560931, 41.922082541]}",2019-09-01
