,trip_start_timestamp,trip_end_timestamp,trip_seconds,trip_miles,pickup_community_area,dropoff_community_area,fare,tip,additional_charges,shared_trip_authorized,trips_pooled,pickup_centroid_location,dropoff_centroid_location,date
82057,2019-07-01 12:00:00,2019-07-01T12:30:00.000,1568,5.492388,2,24,12.5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6944151909, 41.9868086263]}","{'type': 'Point', 'coordinates': [-87.6753116216, 41.906025969]}",2019-07-01
11570,2019-07-01 02:30:00,2019-07-01T02:45:00.000,1147,3.55270936432,6,77,10,0,0,True,2,"{'type': 'Point', 'coordinates': [-87.6559981815, 41.9442266014]}","{'type': 'Point', 'coordinates': [-87.6634164054, 41.9867117999]}",2019-07-01
142520,2019-07-01 17:45:00,2019-07-01T17:45:00.000,749,2.650845,24,24,7.5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6525344838, 41.8926581076]}","{'type': 'Point', 'coordinates': [-87.684490122, 41.8994222543]}",2019-07-01
112519,2019-07-01 15:15:00,2019-07-01T15:30:00.000,658,2.686466,14,14,7.5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.7389372047, 41.97153938]}","{'type': 'Point', 'coordinates': [-87.7057767012, 41.9711428078]}",2019-07-01
57637,2019-07-01 09:30:00,2019-07-01T10:15:00.000,2393,18.58109,46,3,27.5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.5466953298, 41.7493156702]}","{'type': 'Point', 'coordinates': [-87.6638654956, 41.9726679555]}",2019-07-01
24245,2019-07-01 06:30:00,2019-07-01T06:45:00.000,1011,9.715889,77,28,15,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6522740174, 41.9801575735]}","{'type': 'Point', 'coordinates': [-87.6429586652, 41.8679024175]}",2019-07-01
57224,2019-07-01 09:30:00,2019-07-01T09:45:00.000,600,3.122684,8,6,5,0,0.72,True,1,"{'type': 'Point', 'coordinates': [-87.6262105324, 41.8991556134]}","{'type': 'Point', 'coordinates': [-87.6467297286, 41.9346591566]}",2019-07-01
48264,2019-07-01 08:45:00,2019-07-01T09:30:00.000,2682,9.72287750816,61,32,10,0,0,True,3,"{'type': 'Point', 'coordinates': [-87.6591665992, 41.8090182499]}","{'type': 'Point', 'coordinates': [-87.6251921424, 41.8788655841]}",2019-07-01
196525,2019-07-01 23:00:00,2019-07-01T23:15:00.000,834,3.852282,25,19,10,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.7560467111, 41.8906088526]}","{'type': 'Point', 'coordinates': [-87.7655016086, 41.9272609555]}",2019-07-01
46646,2019-07-01 08:45:00,2019-07-01T09:15:00.000,1613,3.194378,24,8,12.5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6796002867, 41.8995065476]}","{'type': 'Point', 'coordinates': [-87.6291051864, 41.9002212967]}",2019-07-01
26141,2019-07-01 06:45:00,2019-07-01T07:00:00.000,798,3.579619,71,69,7.5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6563059862, 41.7442051463]}","{'type': 'Point', 'coordinates': [-87.6161341112, 41.7632467988]}",2019-07-01
75355,2019-07-01 11:15:00,2019-07-01T11:30:00.000,1296,4.480425,24,32,12.5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6653376596, 41.9066507664]}","{'type': 'Point', 'coordinates': [-87.6219716519, 41.8774061234]}",2019-07-01
111920,2019-07-01 15:00:00,2019-07-01T15:00:00.000,473,1.720239,24,28,5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6763559892, 41.9012069941]}","{'type': 'Point', 'coordinates': [-87.6635175498, 41.874005383]}",2019-07-01
20684,2019-07-01 05:45:00,2019-07-01T06:00:00.000,939,5.492441,22,25,10,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6991553432, 41.9227606205]}","{'type': 'Point', 'coordinates': [-87.7560467111, 41.8906088526]}",2019-07-01
78884,2019-07-01 11:45:00,2019-07-01T12:00:00.000,785,2.27256570672,5,6,5,1,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.676373281, 41.9578433752]}","{'type': 'Point', 'coordinates': [-87.6564115308, 41.9362371791]}",2019-07-01
75018,2019-07-01 11:15:00,2019-07-01T11:15:00.000,202,0.668207,7,8,2.5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6317173661, 41.9146162864]}","{'type': 'Point', 'coordinates': [-87.6357600901, 41.9074919303]}",2019-07-01
172548,2019-07-01 20:15:00,2019-07-01T20:15:00.000,542,1.527191,8,24,5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6262149064, 41.8925077809]}","{'type': 'Point', 'coordinates': [-87.6536139825, 41.8983058696]}",2019-07-01
144682,2019-07-01 18:00:00,2019-07-01T18:00:00.000,462,1.374649,24,24,5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6891259086, 41.8919483818]}","{'type': 'Point', 'coordinates': [-87.6846859492, 41.9067077917]}",2019-07-01
83421,2019-07-01 12:15:00,2019-07-01T12:45:00.000,1594,5.32440332928,22,28,10,0,0,True,3,"{'type': 'Point', 'coordinates': [-87.724267094, 41.9297590466]}","{'type': 'Point', 'coordinates': [-87.6841474493, 41.8847677845]}",2019-07-01
202163,2019-07-01 23:45:00,2019-07-02T00:00:00.000,1162,8.91874843392,28,77,15,2,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6635175498, 41.874005383]}","{'type': 'Point', 'coordinates': [-87.6634164054, 41.9867117999]}",2019-07-01
98052,2019-07-01 13:45:00,2019-07-01T14:00:00.000,1228,10.183008,28,41,15,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6428084655, 41.8853000224]}","{'type': 'Point', 'coordinates': [-87.6012851221, 41.7904693995]}",2019-07-01
65191,2019-07-01 10:15:00,2019-07-01T10:30:00.000,888,2.2806442832,6,7,7.5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6568039088, 41.9491397709]}","{'type': 'Point', 'coordinates': [-87.6540070286, 41.9147473049]}",2019-07-01
63634,2019-07-01 10:00:00,2019-07-01T10:30:00.000,1163,6.222001,60,8,12.5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6487879519, 41.8361501547]}","{'type': 'Point', 'coordinates': [-87.6333080367, 41.899602111]}",2019-07-01
159341,2019-07-01 19:00:00,2019-07-01T19:15:00.000,742,4.637712,60,28,7.5,1,2.55,True,2,"{'type': 'Point', 'coordinates': [-87.6487879519, 41.8361501547]}","{'type': 'Point', 'coordinates': [-87.6635175498, 41.874005383]}",2019-07-01
168537,2019-07-01 20:00:00,2019-07-01T20:15:00.000,507,1.906452,24,24,5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6653376596, 41.9066507664]}","{'type': 'Point', 'coordinates': [-87.6945983, 41.9120843819]}",2019-07-01
60128,2019-07-01 09:45:00,2019-07-01T10:00:00.000,732,1.618403,6,7,7.5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6559981815, 41.9442266014]}","{'type': 'Point', 'coordinates': [-87.6494887289, 41.9226862843]}",2019-07-01
161063,2019-07-01 19:15:00,2019-07-01T19:30:00.000,733,1.80960113152,28,8,5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.642648998, 41.8792550844]}","{'type': 'Point', 'coordinates': [-87.6262149064, 41.8925077809]}",2019-07-01
68622,2019-07-01 10:30:00,2019-07-01T10:45:00.000,506,1.60763671952,5,6,5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6838349425, 41.9477915865]}","{'type': 'Point', 'coordinates': [-87.6559981815, 41.9442266014]}",2019-07-01
81643,2019-07-01 12:00:00,2019-07-01T12:30:00.000,1452,7.304105,53,45,15,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6323962405, 41.6815616467]}","{'type': 'Point', 'coordinates': [-87.5917077725, 41.7458424102]}",2019-07-01
187279,2019-07-01 21:45:00,2019-07-01T22:00:00.000,669,1.604166,32,8,5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6327464887, 41.8809944707]}","{'type': 'Point', 'coordinates': [-87.6129454143, 41.8919715078]}",2019-07-01
159121,2019-07-01 19:00:00,2019-07-01T19:30:00.000,1702,17.55723240688,76,28,22.5,0,7.55,False,1,"{'type': 'Point', 'coordinates': [-87.9030396611, 41.9790708201]}","{'type': 'Point', 'coordinates': [-87.6428084655, 41.8853000224]}",2019-07-01
64300,2019-07-01 10:15:00,2019-07-01T10:45:00.000,1294,8.528976,3,32,15,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6638654956, 41.9726679555]}","{'type': 'Point', 'coordinates': [-87.6209929134, 41.8849871918]}",2019-07-01
8035,2019-07-01 01:30:00,2019-07-01T01:45:00.000,705,2.92258039888,21,14,7.5,3,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.7112105933, 41.9386661962]}","{'type': 'Point', 'coordinates': [-87.7215590627, 41.968069]}",2019-07-01
125420,2019-07-01 16:30:00,2019-07-01T16:30:00.000,220,0.94208630336,22,22,2.5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.7049072355, 41.9283913974]}","{'type': 'Point', 'coordinates': [-87.6999685912, 41.9284315635]}",2019-07-01
110587,2019-07-01 15:00:00,2019-07-01T15:45:00.000,2719,15.77932415232,76,7,22.5,0,7.55,False,1,"{'type': 'Point', 'coordinates': [-87.9030396611, 41.9790708201]}","{'type': 'Point', 'coordinates': [-87.6358909539, 41.9292629902]}",2019-07-01
168631,2019-07-01 20:00:00,2019-07-01T20:15:00.000,966,4.010929,6,24,10,5,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6559981815, 41.9442266014]}","{'type': 'Point', 'coordinates': [-87.6763559892, 41.9012069941]}",2019-07-01
51434,2019-07-01 09:00:00,2019-07-01T09:15:00.000,705,2.45650867888,8,33,7.5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6188683546, 41.8909220259]}","{'type': 'Point', 'coordinates': [-87.6173580061, 41.859349715]}",2019-07-01
18749,2019-07-01 05:15:00,2019-07-01T05:30:00.000,335,1.617486,14,4,5,0,2.55,True,1,"{'type': 'Point', 'coordinates': [-87.7215590627, 41.968069]}","{'type': 'Point', 'coordinates': [-87.6875155152, 41.9751709433]}",2019-07-01
158437,2019-07-01 19:00:00,2019-07-01T19:00:00.000,359,1.458444,41,39,0,0,2.55,True,2,"{'type': 'Point', 'coordinates': [-87.592310855, 41.794090253]}","{'type': 'Point', 'coordinates': [-87.5961833442, 41.8089162826]}",2019-07-01
187955,2019-07-01 22:00:00,2019-07-01T22:15:00.000,316,1.413291,43,43,5,0,2.55,True,1,"{'type': 'Point', 'coordinates': [-87.5727819867, 41.7615779081]}","{'type': 'Point', 'coordinates': [-87.5727819867, 41.7615779081]}",2019-07-01
132804,2019-07-01 17:00:00,2019-07-01T17:15:00.000,724,2.797996,31,60,7.5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.667569312, 41.8502663663]}","{'type': 'Point', 'coordinates': [-87.6487879519, 41.8361501547]}",2019-07-01
17439,2019-07-01 05:00:00,2019-07-01T05:15:00.000,865,4.8098601504,43,71,10,0,0,True,1,"{'type': 'Point', 'coordinates': [-87.5727819867, 41.7615779081]}","{'type': 'Point', 'coordinates': [-87.6563059862, 41.7442051463]}",2019-07-01
96986,2019-07-01 13:30:00,2019-07-01T13:30:00.000,291,0.934542,6,7,5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6566440918, 41.9425851797]}","{'type': 'Point', 'coordinates': [-87.6462934762, 41.9290776551]}",2019-07-01
14309,2019-07-01 03:45:00,2019-07-01T04:00:00.000,403,1.58899385072,22,22,7.5,0,0,True,2,"{'type': 'Point', 'coordinates': [-87.7044795753, 41.9156132381]}","{'type': 'Point', 'coordinates': [-87.7119742544, 41.9293297134]}",2019-07-01
176291,2019-07-01 20:45:00,2019-07-01T21:15:00.000,1162,4.59981716192,6,77,10,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6616429039, 41.9490605256]}","{'type': 'Point', 'coordinates': [-87.6652247765, 41.9944422482]}",2019-07-01
72199,2019-07-01 11:00:00,2019-07-01T11:45:00.000,2584,11.35847853088,22,56,20,0,7.55,False,1,"{'type': 'Point', 'coordinates': [-87.704648384, 41.9210845826]}","{'type': 'Point', 'coordinates': [-87.7509342894, 41.785998518]}",2019-07-01
187248,2019-07-01 21:45:00,2019-07-01T22:00:00.000,1167,4.58366000896,8,24,10,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6288741572, 41.8920726347]}","{'type': 'Point', 'coordinates': [-87.6793974791, 41.8922767078]}",2019-07-01
31650,2019-07-01 07:30:00,2019-07-01T07:45:00.000,822,2.026579,24,8,7.5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6698377982, 41.8996701799]}","{'type': 'Point', 'coordinates': [-87.6378442095, 41.8932163595]}",2019-07-01
116467,2019-07-01 15:30:00,2019-07-01T15:45:00.000,1354,7.433726,6,32,15,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6665362813, 41.9506733576]}","{'type': 'Point', 'coordinates': [-87.6209929134, 41.8849871918]}",2019-07-01
78626,2019-07-01 11:45:00,2019-07-01T12:30:00.000,2312,17.671765,76,8,27.5,0,7.55,False,1,"{'type': 'Point', 'coordinates': [-87.9030396611, 41.9790708201]}","{'type': 'Point', 'coordinates': [-87.6378442095, 41.8932163595]}",2019-07-01
84877,2019-07-01 12:15:00,2019-07-01T12:15:00.000,453,1.511443,24,8,5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6536139825, 41.8983058696]}","{'type': 'Point', 'coordinates': [-87.6357600901, 41.9074919303]}",2019-07-01
32835,2019-07-01 07:30:00,2019-07-01T08:00:00.000,2233,17.160575,8,76,25,0,7.55,False,1,"{'type': 'Point', 'coordinates': [-87.6288741572, 41.8920726347]}","{'type': 'Point', 'coordinates': [-87.9030396611, 41.9790708201]}",2019-07-01
181771,2019-07-01 21:15:00,2019-07-01T21:30:00.000,685,2.101783,28,8,7.5,1,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6572331997, 41.8852813201]}","{'type': 'Point', 'coordinates': [-87.6197106717, 41.8950334495]}",2019-07-01
6410,2019-07-01 01:00:00,2019-07-01T01:00:00.000,499,2.0786798712,22,21,10,0,2.85,False,1,"{'type': 'Point', 'coordinates': [-87.685362024, 41.9286190509]}","{'type': 'Point', 'coordinates': [-87.7223302976, 41.9374017942]}",2019-07-01
134544,2019-07-01 17:15:00,2019-07-01T17:30:00.000,855,2.312763,8,33,7.5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6197106717, 41.8950334495]}","{'type': 'Point', 'coordinates': [-87.6173580061, 41.859349715]}",2019-07-01
58495,2019-07-01 09:30:00,2019-07-01T09:45:00.000,1180,2.78648745664,24,32,7.5,0,0,True,2,"{'type': 'Point', 'coordinates': [-87.6696239301, 41.8924331563]}","{'type': 'Point', 'coordinates': [-87.6209929134, 41.8849871918]}",2019-07-01
64724,2019-07-01 10:15:00,2019-07-01T10:45:00.000,1610,10.171068,56,28,17.5,4,7.55,False,1,"{'type': 'Point', 'coordinates': [-87.7509342894, 41.785998518]}","{'type': 'Point', 'coordinates': [-87.642648998, 41.8792550844]}",2019-07-01
151786,2019-07-01 18:30:00,2019-07-01T19:30:00.000,3171,23.2756216968,2,43,20,0,0,True,2,"{'type': 'Point', 'coordinates': [-87.6950125892, 42.001571027]}","{'type': 'Point', 'coordinates': [-87.5727819867, 41.7615779081]}",2019-07-01
107297,2019-07-01 14:30:00,2019-07-01T15:15:00.000,2771,18.089563,32,76,30,0,7.55,False,1,"{'type': 'Point', 'coordinates': [-87.6219716519, 41.8774061234]}","{'type': 'Point', 'coordinates': [-87.9030396611, 41.9790708201]}",2019-07-01
49919,2019-07-01 08:45:00,2019-07-01T09:15:00.000,1391,4.47801708576,22,8,7.5,0,0,True,3,"{'type': 'Point', 'coordinates': [-87.6922563262, 41.9157411934]}","{'type': 'Point', 'coordinates': [-87.6499072264, 41.9049353016]}",2019-07-01
112208,2019-07-01 15:00:00,2019-07-01T15:15:00.000,408,1.350943,15,15,5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.7452432048, 41.9526648947]}","{'type': 'Point', 'coordinates': [-87.7622859818, 41.9605182177]}",2019-07-01
3768,2019-07-01 00:30:00,2019-07-01T00:30:00.000,530,2.16443706768,22,22,7.5,0,0,True,2,"{'type': 'Point', 'coordinates': [-87.6991553432, 41.9227606205]}","{'type': 'Point', 'coordinates': [-87.6991553432, 41.9227606205]}",2019-07-01
164514,2019-07-01 19:30:00,2019-07-01T19:45:00.000,834,1.568873,8,32,5,0,2.55,True,1,"{'type': 'Point', 'coordinates': [-87.6378442095, 41.8932163595]}","{'type': 'Point', 'coordinates': [-87.6221729369, 41.8706073724]}",2019-07-01
116612,2019-07-01 15:30:00,2019-07-01T16:00:00.000,1313,4.51592425232,23,28,7.5,0,0,True,2,"{'type': 'Point', 'coordinates': [-87.7021052472, 41.8916970451]}","{'type': 'Point', 'coordinates': [-87.672920435, 41.8631181033]}",2019-07-01
197965,2019-07-01 23:00:00,2019-07-01T23:00:00.000,744,6.0216466224,6,32,7.5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6559981815, 41.9442266014]}","{'type': 'Point', 'coordinates': [-87.6251921424, 41.8788655841]}",2019-07-01
104466,2019-07-01 14:15:00,2019-07-01T14:30:00.000,514,1.368575,32,28,5,3,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6209929134, 41.8849871918]}","{'type': 'Point', 'coordinates': [-87.642648998, 41.8792550844]}",2019-07-01
81693,2019-07-01 12:00:00,2019-07-01T12:15:00.000,444,1.711676,24,7,5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6536139825, 41.8983058696]}","{'type': 'Point', 'coordinates': [-87.6510618838, 41.9217781876]}",2019-07-01
180076,2019-07-01 21:00:00,2019-07-01T21:15:00.000,302,1.126239,24,24,5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6763559892, 41.9012069941]}","{'type': 'Point', 'coordinates': [-87.6763559892, 41.9012069941]}",2019-07-01
30861,2019-07-01 07:15:00,2019-07-01T07:15:00.000,746,2.944976,32,28,7.5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6251921424, 41.8788655841]}","{'type': 'Point', 'coordinates': [-87.6635175498, 41.874005383]}",2019-07-01
75715,2019-07-01 11:30:00,2019-07-01T12:00:00.000,1382,4.707323,23,6,12.5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.7103539349, 41.9066839592]}","{'type': 'Point', 'coordinates': [-87.6612652184, 41.936159071]}",2019-07-01
188011,2019-07-01 22:00:00,2019-07-01T22:15:00.000,840,4.051929,28,6,10,0,0.72,False,1,"{'type': 'Point', 'coordinates': [-87.6572331997, 41.8852813201]}","{'type': 'Point', 'coordinates': [-87.6515625922, 41.9363101308]}",2019-07-01
160823,2019-07-01 19:15:00,2019-07-01T19:15:00.000,221,0.75068618368,18,18,2.5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.7986359527, 41.9344868721]}","{'type': 'Point', 'coordinates': [-87.7976006842, 41.9255880881]}",2019-07-01
157430,2019-07-01 19:00:00,2019-07-01T19:00:00.000,377,1.332322,8,8,5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.630963601, 41.9094956686]}","{'type': 'Point', 'coordinates': [-87.6378442095, 41.8932163595]}",2019-07-01
59389,2019-07-01 09:45:00,2019-07-01T10:00:00.000,891,4.132665,7,8,10,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6608925701, 41.9289459041]}","{'type': 'Point', 'coordinates': [-87.6262149064, 41.8925077809]}",2019-07-01
58161,2019-07-01 09:30:00,2019-07-01T09:30:00.000,662,2.159465636,8,32,7.5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6261455896, 41.9027880476]}","{'type': 'Point', 'coordinates': [-87.6327464887, 41.8809944707]}",2019-07-01
182936,2019-07-01 21:15:00,2019-07-01T21:45:00.000,1991,13.520699,76,6,22.5,0,7.55,False,1,"{'type': 'Point', 'coordinates': [-87.9030396611, 41.9790708201]}","{'type': 'Point', 'coordinates': [-87.6532439924, 41.9528229157]}",2019-07-01
52178,2019-07-01 09:00:00,2019-07-01T09:15:00.000,1076,5.539471,6,8,7.5,0,2.55,True,2,"{'type': 'Point', 'coordinates': [-87.6460070664, 41.9534000435]}","{'type': 'Point', 'coordinates': [-87.6499072264, 41.9049353016]}",2019-07-01
65341,2019-07-01 10:15:00,2019-07-01T10:30:00.000,1444,6.903499,28,7,15,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6635175498, 41.874005383]}","{'type': 'Point', 'coordinates': [-87.6494887289, 41.9226862843]}",2019-07-01
45723,2019-07-01 08:30:00,2019-07-01T08:30:00.000,571,1.685961,24,28,5,3,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6696239301, 41.8924331563]}","{'type': 'Point', 'coordinates': [-87.6750856208, 41.8704150003]}",2019-07-01
134125,2019-07-01 17:15:00,2019-07-01T17:30:00.000,1139,3.07601,21,8,0,0,0.72,True,2,"{'type': 'Point', 'coordinates': [-87.693325868, 41.9354389148]}","{'type': 'Point', 'coordinates': [-87.6499072264, 41.9049353016]}",2019-07-01
129029,2019-07-01 16:45:00,2019-07-01T17:15:00.000,1988,7.439918,8,14,17.5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6499072264, 41.9049353016]}","{'type': 'Point', 'coordinates': [-87.7210167687, 41.964652354]}",2019-07-01
113551,2019-07-01 15:15:00,2019-07-01T15:30:00.000,722,3.977269,8,6,7.5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6262105324, 41.8991556134]}","{'type': 'Point', 'coordinates': [-87.6439653703, 41.949829346]}",2019-07-01
201889,2019-07-01 23:45:00,2019-07-02T00:00:00.000,851,6.437213,30,61,10,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.714003807, 41.8390869059]}","{'type': 'Point', 'coordinates': [-87.6591665992, 41.8090182499]}",2019-07-01
147069,2019-07-01 18:00:00,2019-07-01T18:15:00.000,694,2.132656,4,5,7.5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6875155152, 41.9751709433]}","{'type': 'Point', 'coordinates': [-87.6838349425, 41.9477915865]}",2019-07-01
196947,2019-07-01 23:00:00,2019-07-01T23:15:00.000,324,1.81022256048,28,8,5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6572331997, 41.8852813201]}","{'type': 'Point', 'coordinates': [-87.6499072264, 41.9049353016]}",2019-07-01
198773,2019-07-01 23:15:00,2019-07-01T23:30:00.000,1205,5.601014,19,27,5,0,2.55,True,2,"{'type': 'Point', 'coordinates': [-87.7443896126, 41.935214804]}","{'type': 'Point', 'coordinates': [-87.7131563352, 41.8717864722]}",2019-07-01
97382,2019-07-01 13:30:00,2019-07-01T13:30:00.000,493,1.939967,11,13,5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.771166703, 41.9788295262]}","{'type': 'Point', 'coordinates': [-87.7235831853, 41.9836363072]}",2019-07-01
97875,2019-07-01 13:45:00,2019-07-01T13:45:00.000,544,1.476387,32,8,10,1,2.85,False,1,"{'type': 'Point', 'coordinates': [-87.6209929134, 41.8849871918]}","{'type': 'Point', 'coordinates': [-87.6207628651, 41.8983317935]}",2019-07-01
176612,2019-07-01 20:45:00,2019-07-01T21:15:00.000,1745,13.581168,76,4,20,4,7.55,False,1,"{'type': 'Point', 'coordinates': [-87.9030396611, 41.9790708201]}","{'type': 'Point', 'coordinates': [-87.6788459662, 41.9725625375]}",2019-07-01
121839,2019-07-01 16:00:00,2019-07-01T16:15:00.000,644,1.666865,8,8,5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6291051864, 41.9002212967]}","{'type': 'Point', 'coordinates': [-87.6188683546, 41.8909220259]}",2019-07-01
152970,2019-07-01 18:30:00,2019-07-01T18:45:00.000,834,4.423453,28,8,10,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6635175498, 41.874005383]}","{'type': 'Point', 'coordinates': [-87.6333080367, 41.899602111]}",2019-07-01
158462,2019-07-01 19:00:00,2019-07-01T19:15:00.000,556,1.703487,32,33,5,0,2.55,False,1,"{'type': 'Point', 'coordinates': [-87.6209929134, 41.8849871918]}","{'type': 'Point', 'coordinates': [-87.6173580061, 41.859349715]}",2019-07-01
